ID,ORG_ID,NAME,SHORT_NAME,TYPE,REGION_CODE,REGION_NAME,REGION_PREFIX,DISTRICT_CODE,DISTRICT_NAME,DISTRICT_PREFIX,ADDRESS,WEBSITE,EMAIL,PHONE_NUMBER,BUSINESS_CODE,AVATAR,AVATAR_CDN_FILE_ID,MAP_IMAGE,MAP_IMAGE_CDN_FILE_ID,STORE_IMAGE,STORE_IMAGE_CDN_FILE_ID,MAP_URL,CBM_URL,CBM_SHARE_API,ADL_API,IS_ACTIVE,REPRESENTATIVE_CID,REPRESENTATIVE_NAME,REPRESENTATIVE_PHONE_NUMBER,CDN_OWNER_ID,PUBLISHED_AT,LAST_UPDATED_AT,IS_DELETED,CREATED_AT,UPDATED_AT
958f55be-2787-4b4a-94fd-f9b3571f1604,,Công Ty C? Ph?n T?p ?oàn CVG Building,CVG Building,GROUP,1,HA NOI,HN,1,No,HN,Hoang Mai,,,,009,https://static.cvgbuilding.com/post/6bfaa856-c3a6-4356-a4e7-2db24304d342.png,,,,,,https://goo.gl/maps/xk2MVoi3ckbE9e1y7,https://cvgquantrixaydung.com,,,YES,,,,,2022-09-19 08:56:56.000,2022-09-19 08:56:56.000,NO,2010-08-24 15:12:33.000,2022-11-06 19:48:09.000
00beef67-dbc2-4beb-8812-c9c407ad77ee,958f55be-2787-4b4a-94fd-f9b3571f1604,qqq,qqq,STORE,01,Hà N?i,Thành ph?,,,,,https://vatlieuxaydungcvghanoi.com/cua-hang/,,0000000000,,https://static.cvgbuilding.com/store/d186df2f-78f6-48a9-91bc-42bba1658780/fad0ad29-67e9-4a65-a830-6d10fc88a0f4.png,fad0ad29-67e9-4a65-a830-6d10fc88a0f4,,,,,,https://vatlieuxaydungcvghanoi.com,,,YES,1eb515eb-bdf5-4166-bd76-f268c257583c,Nguy?n H?u,0399985562,a6234074-f235-49e8-bf7c-61c3886a5b3d,2023-01-05 09:34:31.000,2023-01-06 03:26:18.000,NO,2023-01-05 09:34:31.000,2023-01-06 09:40:21.000
0113297b-b78e-45d2-ac91-2a2b9efa9d68,958f55be-2787-4b4a-94fd-f9b3571f1604,test l?n 3,test l?n 3,STORE,31,H?i Phòng,Thành ph?,,,,,,,123,,https://static.cvgbuilding.com/store/e17a77f5-8680-4b27-b3d5-930445703e81/46e84cb0-d7fd-43ba-89a3-cff79ab9ee97.jpg,46e84cb0-d7fd-43ba-89a3-cff79ab9ee97,,,,,,,,,YES,759e1321-0c5c-49b0-a124-33776027d93d,Hainc,0342175240,6f661d0a-d9cb-4194-ab74-70e7ad05783f,2023-01-06 03:29:32.000,2023-01-06 03:29:38.000,NO,2023-01-06 03:29:32.000,2023-01-06 03:29:38.000
01bc10a4-ef16-4d1b-9cd5-47983b460490,958f55be-2787-4b4a-94fd-f9b3571f1604,Galaxy thu?c công ty Ý Yên - Nam ??nh,Galaxy -2,STORE,36,Nam ??nh,T?nh,360,Ý Yên,Huy?n,,,,0312565641,,https://static.cvgbuilding.com/store/6d9bc871-d2e9-4420-a408-a67717c8711c/46dd2f7a-3d0f-4f0b-b14b-b1d248f77414.jpg,46dd2f7a-3d0f-4f0b-b14b-b1d248f77414,https://static.cvgbuilding.com/store/c6e7144d-88be-4143-a4d0-ea870d02ef33/34345d42-5f3a-43d7-b80e-1e39c63f5d85.jpg,34345d42-5f3a-43d7-b80e-1e39c63f5d85,https://static.cvgbuilding.com/store/bbed5388-58a1-41c9-aab6-d3ae0be2d22f/0b51875d-5ec0-4e36-bdda-759caf83c05b.jpg,0b51875d-5ec0-4e36-bdda-759caf83c05b,,,,https://cvgbuildinggroup.com:7494,YES,2ebe3678-f0ee-46bb-8f63-62ff630bb0a1,Thunt,0349210893,58a618ef-2999-402d-b6d5-315b11ed35b7,2023-01-12 02:45:21.000,2023-01-12 02:52:29.000,NO,2023-01-12 02:45:21.000,2023-02-28 09:55:07.000
02179070-0287-400d-be28-36587e86d50e,958f55be-2787-4b4a-94fd-f9b3571f1604,ADG12 tesst,ADG12,LOCAL,24,B?c Giang,T?nh,,,,,,,0962462692,,,,,,,,,xxx,,,YES,2af5b123-ebed-40d1-a279-839f9ebc8b9e,Nguy?n Khôi,0962462692,,2022-11-21 09:59:32.000,2022-12-27 03:51:27.000,NO,2022-11-21 09:59:32.000,2023-01-04 10:46:04.000
03382d73-cc1d-4488-b455-88296036b56a,958f55be-2787-4b4a-94fd-f9b3571f1604,12312312312asdasdadadasd12312asdasdasdasdasdasdasdaad?âsdasdasdasdasdasdasdasdas,12312312312asdasdadadasd12312asdasdasdasdasdasdasdaad?âsdasdasdasdasdasdasdasdas,LOCAL,74,Bình D??ng,T?nh,,,,,,,0989069446,21321563215321532153,,,,,,,,,,,YES,759e1321-0c5c-49b0-a124-33776027d93d,Hainc,0342175240,,2022-11-24 08:50:41.000,2022-12-05 03:08:23.000,NO,2022-11-24 08:50:41.000,2023-01-04 10:46:04.000
046a6610-bd7d-4727-b47b-c25d8a403186,958f55be-2787-4b4a-94fd-f9b3571f1604,?i?m bán ?? dùng,?BDD,LOCAL,62,Kon Tum,T?nh,608,Kon Tum,Thành ph?,,ghfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffgfgfgfg,,19000088,1234567890,,,,,,,,,,,YES,bf811462-1056-41dd-acfd-8d1055a12f55,Dung,0369063416,,2023-01-12 07:19:27.000,2023-01-16 01:59:50.000,NO,2023-01-12 07:19:27.000,2023-01-16 01:59:50.000
052e2400-1940-44cd-a714-ddd9f0e65fd9,958f55be-2787-4b4a-94fd-f9b3571f1604,Công ty VLXD L?ng S?n,VLXD L?ng S?n,LOCAL,20,L?ng S?n,T?nh,181,Bình Gia,Huy?n,Bình Gia L?ng S?n,,,0454445254,VLXD L?ng S?n,,,,,,,,,,,YES,0b8c40d4-b1dd-416c-9ef3-baab460039b7,PhongNV,0968805928,,2023-01-13 08:36:42.000,2023-01-16 02:00:06.000,NO,2023-01-13 08:36:42.000,2023-01-16 02:00:06.000
05ff4dbe-cca5-46f7-b8a9-9b8e41fba25d,958f55be-2787-4b4a-94fd-f9b3571f1604,?i?m bán t? ??a ph??ng,SD,STORE,01,Hà N?i,Thành ph?,004,Long Biên,Qu?n,,,,1922220220,,https://static.cvgbuilding.com/store/d1dbe871-1158-4841-8673-5573835256ab/e703300d-2ca1-4017-b46d-76637a5d741c.jpg,e703300d-2ca1-4017-b46d-76637a5d741c,mapImage,,,,mapUrl,https://vatlieuxaydungcvghanoi.com,,,YES,bf811462-1056-41dd-acfd-8d1055a12f55,Dung,0369063416,dac98ce0-aa2d-42fd-9b81-796d16407502,2022-11-23 04:27:23.000,2022-12-27 04:50:45.000,NO,2022-11-23 04:27:23.000,2023-01-03 06:57:03.000
0686fa85-04a5-4629-b9cf-7544f68a80c3,958f55be-2787-4b4a-94fd-f9b3571f1604,?i?m bán s? 5,s5,STORE,95,B?c Liêu,T?nh,958,V?nh L?i,Huy?n,Tòa nhà A - ???ng Nguy?n Xi?n - qu?n V?nh L? - t?nh B?c Liêu,https://admin.cvgbuildinggroup.com/adg3/advertisement?web=WCP1&location=ADVERTISEMENT,tamkem@gmail.com,0966666666,DN05,https://static.cvgbuilding.com/store/ed05d0ab-3243-480a-b311-b03444516543/51d4687b-5c7a-4c6f-8c6f-8da6a7f7eff0.jpg,51d4687b-5c7a-4c6f-8c6f-8da6a7f7eff0,https://static.cvgbuilding.com/store/2409eb95-719f-4678-95cf-98b9a3114f6c/ef0cd3c4-8d80-45f2-a9cf-2bc6627bb77b.jpg,ef0cd3c4-8d80-45f2-a9cf-2bc6627bb77b,https://static.cvgbuilding.com/store/87773383-7d47-4059-b7cc-43dad8819cba/ca3074b4-3dfb-4db3-8279-4a76ce6b472e.jpg,ca3074b4-3dfb-4db3-8279-4a76ce6b472e,https://admin.cvgbuildinggroup.com/adg1/member-company?companyId=02179070-0287-400d-be28-36587e86d50e,,,,YES,ddd56ca7-deac-4b07-8e91-dfaa54478a78,Nguy?n Thi B,0966666666,0cfd847a-85d5-471b-afcd-bd538be101f8,2022-11-25 01:29:36.000,2022-11-25 01:29:36.000,NO,2022-11-25 01:29:36.000,2022-11-25 01:29:36.000
