timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679236143122,154,Setup - Check API Host,200,,Setup 1-1,text,true,,336,115,1,1,http://13.229.198.3/,154,0,71
1679236143277,2380,Setup - Check Table - ORG_INFO,200,OK,Setup 1-1,text,true,,8,0,1,1,null,2380,0,2311
1679236145666,56178,Setup - Insert Table - ORG_INFO,200,OK,Setup 1-1,text,true,,8217,0,1,1,null,0,0,0
1679236201914,177,AWCP004  - 200 - Check default,200,,/stores 1-1,text,true,,5898,289,1,1,http://13.229.198.3/stores,175,0,79
1679236203640,115,AWCP004  - 200 - Check regionCode,200,,/stores 1-1,text,true,,5823,303,1,1,http://13.229.198.3/stores?regionCode=01,115,0,0
1679236204615,95,AWCP004  - 200 - Check districtCode,200,,/stores 1-1,text,true,,1415,306,1,1,http://13.229.198.3/stores?districtCode=004,95,0,0
1679236205585,118,AWCP004  - 200 - Check textSearch,200,,/stores 1-1,text,true,,4832,309,1,1,http://13.229.198.3/stores?textSearch=Building,118,0,0
1679236206553,106,AWCP004  - 200 - Check textSearch special,200,,/stores 1-1,text,true,,877,304,1,1,http://13.229.198.3/stores?textSearch=%23,106,0,0
1679236207446,95,AWCP004  - 200 - Check pageNo,200,,/stores 1-1,text,true,,5898,298,1,1,http://13.229.198.3/stores?pageNo=1,95,0,0
1679236208421,104,AWCP004  - 200 - Check pageSize,200,,/stores 1-1,text,true,,5898,301,1,1,http://13.229.198.3/stores?pageSize=10,104,0,0
1679236209316,91,"AWCP004  - 200 - Check regionCode, districtCode",200,,/stores 1-1,text,true,,1415,320,1,1,http://13.229.198.3/stores?regionCode=01&districtCode=004,90,0,0
1679236210214,122,"AWCP004  - 200 - Check regionCode, textSearch",200,,/stores 1-1,text,true,,3559,323,1,1,http://13.229.198.3/stores?regionCode=01&textSearch=Building,122,0,0
1679236211110,87,"AWCP004  - 200 - Check regionCode, pageNo",200,,/stores 1-1,text,true,,5823,312,1,1,http://13.229.198.3/stores?regionCode=01&pageNo=1,86,0,0
1679236212076,134,"AWCP004  - 200 - Check regionCode, pageSize",200,,/stores 1-1,text,true,,5823,315,1,1,http://13.229.198.3/stores?regionCode=01&pageSize=10,132,0,0
1679236213265,85,"AWCP004  - 200 - Check districtCode, textSearch",200,,/stores 1-1,text,true,,343,326,1,1,http://13.229.198.3/stores?districtCode=004&textSearch=Building,84,0,0
1679236214129,92,"AWCP004  - 200 - Check districtCode, pageNo",200,,/stores 1-1,text,true,,1415,315,1,1,http://13.229.198.3/stores?districtCode=004&pageNo=1,92,0,0
1679236214979,106,"AWCP004  - 200 - Check districtCode, pageSize",200,,/stores 1-1,text,true,,1415,318,1,1,http://13.229.198.3/stores?districtCode=004&pageSize=10,105,0,0
1679236215954,103,"AWCP004  - 200 - Check textSearch, pageNo",200,,/stores 1-1,text,true,,4832,318,1,1,http://13.229.198.3/stores?pageNo=1&textSearch=Building,103,0,0
1679236216859,106,"AWCP004  - 200 - Check textSearch, pageSize",200,,/stores 1-1,text,true,,4832,321,1,1,http://13.229.198.3/stores?pageSize=10&textSearch=Building,106,0,0
1679236219099,116,"AWCP004  - 200 - Check pageNo, pageSize",200,,/stores 1-1,text,true,,5898,310,1,1,http://13.229.198.3/stores?pageSize=10&pageNo=1,116,0,0
1679236219940,80,"AWCP004  - 200 - Check regionCode, districtCode, textSearch",200,,/stores 1-1,text,true,,343,340,1,1,http://13.229.198.3/stores?regionCode=01&textSearch=Building&districtCode=004,80,0,0
1679236220943,97,"AWCP004  - 200 - Check regionCode, districtCode, pageNo",200,,/stores 1-1,text,true,,1415,329,1,1,http://13.229.198.3/stores?regionCode=01&pageNo=1&districtCode=004,97,0,0
1679236221997,91,"AWCP004  - 200 - Check regionCode, districtCode, pagaSize",200,,/stores 1-1,text,true,,1415,332,1,1,http://13.229.198.3/stores?regionCode=01&pageSize=10&districtCode=004,91,0,0
1679236223071,117,"AWCP004  - 200 - Check regionCode, textSearch, pageNo",200,,/stores 1-1,text,true,,3559,332,1,1,http://13.229.198.3/stores?regionCode=01&textSearch=Building&pageNo=1,117,0,0
1679236223954,88,"AWCP004  - 200 - Check regionCode, textSearch, pageSize",200,,/stores 1-1,text,true,,3559,335,1,1,http://13.229.198.3/stores?regionCode=01&textSearch=Building&pageSize=10,88,0,0
1679236224875,85,"AWCP004  - 200 - Check regionCode, pageNo, pageSize",200,,/stores 1-1,text,true,,5823,324,1,1,http://13.229.198.3/stores?regionCode=01&pageNo=1&pageSize=10,85,0,0
1679236225827,132,"AWCP004  - 200 - Check districtCode, textSearch, pageNo",200,,/stores 1-1,text,true,,343,335,1,1,http://13.229.198.3/stores?districtCode=004&textSearch=Building&pageNo=1,132,0,0
1679236227570,90,"AWCP004  - 200 - Check districtCode, textSearch, pageSize",200,,/stores 1-1,text,true,,343,338,1,1,http://13.229.198.3/stores?districtCode=004&textSearch=Building&pageSize=10,90,0,0
